Ensembl	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	entrez
ENSG00000149403	45.05987041594931	-2.1788133769770943	0.3456017639472665	-3.410900926874213	6.474861372569853e-4	0.05834281754110275	GRIK4	2900
ENSG00000154864	153.23479367766961	-2.5674257666266205	0.23020682838619216	-6.808771823210761	9.843545789144574e-12	2.6609072977215612e-9	PIEZO2	63895
ENSG00000155897	24.2886725181586	-4.02506001577902	0.7299361624699705	-4.144280241634789	3.4088267291127006e-5	0.003926735971933573	ADCY8	114
ENSG00000157368	52.06966533517676	-2.2717059317947457	0.37099653096381097	-3.427810843651244	6.084692633795846e-4	0.05507190109713258	IL34	146433
ENSG00000162692	508.1702324397553	-3.6926601761472773	0.19018562717370074	-14.158063446550623	1.6651999745041084e-45	4.220033035387037e-42	VCAM1	7412
ENSG00000163394	1216.602064987596	-2.188504014606	0.1254268458418663	-9.475674897417283	2.6504176755376564e-21	1.791152265128348e-18	CCKAR	886
ENSG00000163491	160.22505904844687	-2.4961381606171957	0.22980283529067128	-6.510529596924997	7.488631140381587e-11	1.829210936627666e-8	NEK10	152110
ENSG00000164742	353.79947827724067	-2.5889779463925917	0.2493252105225019	-6.373113826165544	1.852283031935897e-10	4.3164581826975146e-8	ADCY1	107
ENSG00000165272	138.57318585302596	-2.9196554750076595	0.299190313114468	-6.416168541770982	1.397467301856324e-10	3.294447916027339e-8	AQP3	360
ENSG00000167992	251.54379773355885	-1.5242798463317733	0.15415502263618355	-3.4009910112958806	6.714203554717427e-4	0.06023175348156687	VWCE	220001
ENSG00000168398	5604.076593606673	-2.1078058447875554	0.2856599073638416	-3.878058545249601	1.0529338182370567e-4	0.011206932098236743	BDKRB2	624
ENSG00000172061	231.2773027254979	-2.5566152810793716	0.2493375235769343	-6.24300449747216	4.292445541081214e-10	9.257983074455376e-8	LRRC15	131578
ENSG00000172986	756.366829107728	-1.5729035701242688	0.10427746129259328	-5.494030666097177	3.9286222581880423e-8	6.807597236111484e-6	GXYLT2	727936
ENSG00000176771	107.65217910148701	-2.2212202645527497	0.2400949480139643	-5.08640550188387	3.649134097670032e-7	5.4398929923648695e-5	NCKAP5	344148
ENSG00000177570	102.12210509285981	-2.0248084050817887	0.25842467356737897	-3.965598140978558	7.321212061297156e-5	0.008110942804958391	SAMD12	401474
ENSG00000177614	133.1503397321538	-2.5700694278095133	0.2558832160277375	-6.135882814757648	8.468756861979552e-10	1.7519956797936064e-7	PGBD5	79605
ENSG00000178695	2649.850148958817	-2.528174368655857	0.13443011604838193	-11.367797734444125	6.049466746036418e-30	7.665430550571397e-27	KCTD12	115207
ENSG00000181634	26.82848641654122	-2.7089693848346394	0.5215172064149248	-3.2769185058775694	0.0010494665520489983	0.09092685844547603	TNFSF15	9966
ENSG00000182010	118.30706678544128	-1.8823650306087014	0.26442364238028515	-3.3369369798624655	8.4707152851305e-4	0.07532249196962094	RTKN2	219790
ENSG00000183496	171.52682151378767	-1.7148305596899152	0.19551336766090693	-3.656172302907174	2.560093120499724e-4	0.024834128193785363	MEX3B	84206
ENSG00000183508	90.03600527866072	-2.547310776238089	0.30218101563412386	-5.120476456772351	3.047646656001837e-7	4.645713406299341e-5	TENT5C	54855
ENSG00000183876	193.711245126177	-1.6869373218584511	0.19100655912085876	-3.596406976913258	3.226428876446462e-4	0.03093742749403535	ARSI	340075
ENSG00000184564	43.217067612514384	-3.191603085311282	0.4546457640121894	-4.820463003923475	1.4322541730795943e-6	1.948826919799711e-4	SLITRK6	84189
ENSG00000185745	237.71559349546226	-1.664125628497324	0.18135545096458328	-3.66201084646207	2.502432617571939e-4	0.024509332796450966	IFIT1	3434
ENSG00000188176	56.14648438594187	-3.2503162705107465	0.3833154827471969	-5.870663648603175	4.340540870027373e-9	8.380964342755711e-7	SMTNL2	342527
ENSG00000196517	229.64074274042454	-2.2292452709071036	0.1613271451874454	-7.619581128016914	2.5450021639335218e-14	9.0521708546646e-12	SLC6A9	6536
ENSG00000196932	68.82898386167516	-2.084590447737619	0.27240974717298655	-3.9814671060535827	6.849120078295053e-5	0.007629618706997468	TMEM26	219623
ENSG00000214814	243.2769764671969	-3.059419374418402	0.2527104929432141	-8.149322770230869	3.65967951012147e-16	1.5457571330875558e-13	FER1L6	654463
ENSG00000225783	69.75066344264866	-1.859515126183836	0.264125805578927	-3.254188375497421	0.0011371684628224638	0.09656247877552514	MIAT	440823
ENSG00000254726	47.89523643491952	-2.1002164627090347	0.33854739241662357	-3.24981520269719	0.0011548002352381322	0.09755174987174121	MEX3A	92312
ENSG00000267339	26.233572568220907	-4.611550391319478	0.6730944687002248	-5.365592140867747	8.068407789421649e-8	1.3408106518256927e-5	LINC00906	148145
ENSG00000272841	114.90346982487888	-2.0173583023318686	0.24011753023287655	-4.236918068185983	2.2660877873514662e-5	0.0026867054854247735	NA	NA
